project_id,project_name,project_type,client_id,project_manager_id,location,plot_number,dm_permit_no,contract_value_aed,start_date,end_date,status,completion_pct,gfa_sqm,floors,description,duration_days,elapsed_days,remaining_days,budget_variance_pct,total_cost,total_revenue,profit,risk_score,health_status,internal_notes,created_at,last_updated_at,created_by,record_version,is_active,tags
PRJ-070,Ibn Battuta Mall Annex,Infrastructure - Roads,CL-035,EMP-0110,Sheikh Zayed Road,Plot 356-89,DM-2023-564276,436076334,2023-05-25,2024-12-15,Completed,100,103849,10,Hotel & Hospitality project in Meydan,570,570,0,0.4,437814536,436076334,-1738202,0.7,Green,—,2023-05-25T12:49:00,2023-05-25T12:49:00,system@alrashdeng.ae,1,True,High Budget
PRJ-071,Mall of Emirates Wing,Hotel & Hospitality,CL-008,EMP-0058,Dubai Marina,Plot 491-82,DM-2024-926965,370928354,2024-07-07,2027-11-19,On Hold,85,62771,4,Infrastructure - Bridges project in Expo City,1230,604,626,10.86,349531699,315289100,-34242599,3.6,Amber,—,2024-07-07T12:33:00,2024-07-07T12:33:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration"
PRJ-072,Dubai Mall Extension,Infrastructure - Roads,CL-016,EMP-0059,Dubai Marina,Plot 508-87,DM-2021-885161,10220097,2021-05-25,2025-03-05,Completed,100,94651,2,Retail Mall project in Palm Jumeirah,1380,1380,0,6.02,10835812,10220097,-615715,5.6,Amber,—,2021-05-25T14:20:00,2021-05-25T14:20:00,system@alrashdeng.ae,1,True,"Long Duration,High Incident Rate"
PRJ-073,Outlet Village Phase 2,School/Educational,CL-044,EMP-0053,Al Barsha,Plot 854-26,DM-2024-346269,122341797,2024-12-06,2027-09-22,Delayed,44,197788,4,Infrastructure - Roads project in Dubai Hills Estate,1020,452,568,-9.52,48707639,53830390,5122751,5.1,Amber,—,2024-12-06T10:12:00,2024-12-06T10:12:00,system@alrashdeng.ae,1,True,"High Budget,Delayed"
PRJ-074,Citizens School Campus,Commercial Office Building,CL-008,EMP-0006,Al Barsha,Plot 728-1,DM-2024-901368,454003777,2024-12-13,2027-03-03,Delayed,55,146944,1,Hotel & Hospitality project in Al Quoz Industrial,810,445,365,-10.32,223932490,249702077,25769587,6.6,Red,—,2024-12-13T16:20:00,2024-12-13T16:20:00,system@alrashdeng.ae,1,True,"High Budget,Delayed,High Incident Rate"
PRJ-075,GEMS Academy Building,Marine & Coastal Works,CL-018,EMP-0073,Palm Jumeirah,Plot 882-66,DM-2020-393880,487175145,2020-05-12,2023-11-23,Completed,100,109301,4,Marine & Coastal Works project in JLT,1290,1290,0,14.56,558111937,487175145,-70936792,3.8,Amber,—,2020-05-12T07:33:00,2020-05-12T07:33:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration"
PRJ-076,Dubai Medical College,High-Rise Residential Tower,CL-033,EMP-0061,DIP,Plot 981-88,DM-2022-913594,261796134,2022-02-06,2025-04-21,Completed,100,50822,8,Commercial Office Building project in Deira,1170,1170,0,13.19,296326082,261796134,-34529948,4.2,Amber,—,2022-02-06T14:20:00,2022-02-06T14:20:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration"
PRJ-077,Dubai Science Park HQ,Industrial Warehouse,CL-038,EMP-0008,JAFZA,Plot 470-79,DM-2022-372315,11345803,2022-02-24,2023-02-19,Completed,100,54060,9,Infrastructure - Roads project in Meydan,360,360,0,5.22,11938404,11345803,-592601,3.2,Amber,—,2022-02-24T11:30:00,2022-02-24T11:30:00,system@alrashdeng.ae,1,True,—
PRJ-078,Techno Hub Office,Industrial Warehouse,CL-014,EMP-0069,Al Quoz Industrial,Plot 473-52,DM-2021-393212,201454033,2021-10-07,2024-06-23,Completed,100,123155,3,Marine & Coastal Works project in JLT,990,990,0,-9.48,182350973,201454033,19103060,5.6,Amber,—,2021-10-07T16:43:00,2021-10-07T16:43:00,system@alrashdeng.ae,1,True,High Budget
PRJ-079,Smart City Data Center,Infrastructure - Roads,CL-016,EMP-0075,Expo City,Plot 976-49,DM-2021-305587,442115287,2021-06-30,2023-08-19,Completed,100,43232,3,Hotel & Hospitality project in Business Bay,780,780,0,-12.0,389044175,442115287,53071112,3.2,Amber,—,2021-06-30T09:26:00,2021-06-30T09:26:00,system@alrashdeng.ae,1,True,High Budget
PRJ-080,Solar Park Operations Center,Utility Infrastructure,CL-034,EMP-0075,JAFZA,Plot 904-63,DM-2022-414608,77193933,2022-06-25,2026-01-05,Completed,100,70791,9,Marine & Coastal Works project in Downtown Dubai,1290,1290,0,14.87,88670241,77193933,-11476308,4.3,Amber,—,2022-06-25T13:06:00,2022-06-25T13:06:00,system@alrashdeng.ae,1,True,Long Duration
PRJ-081,Wind Tower Research Lab,Utility Infrastructure,CL-007,EMP-0071,JAFZA,Plot 366-47,DM-2024-477808,37231784,2024-09-23,2026-07-15,In Progress,42,151892,72,Infrastructure - Roads project in Al Quoz Industrial,660,526,134,-0.7,15527290,15637349,110059,4.3,Amber,—,2024-09-23T07:26:00,2024-09-23T07:26:00,system@alrashdeng.ae,1,True,—
PRJ-082,Al Maktoum Airport Cargo,Marine & Coastal Works,CL-013,EMP-0076,Sheikh Zayed Road,Plot 765-84,DM-2024-664593,193490269,2024-04-04,2025-10-26,Completed,100,50754,5,Infrastructure - Bridges project in JAFZA,570,570,0,11.02,214814942,193490269,-21324673,8.4,Red,—,2024-04-04T17:32:00,2024-04-04T17:32:00,system@alrashdeng.ae,1,True,"High Budget,High Risk,High Incident Rate"
PRJ-083,Airport Tunnel Project,Infrastructure - Roads,CL-030,EMP-0083,JLT,Plot 989-22,DM-2023-771697,420937714,2023-05-17,2026-11-27,On Hold,20,93444,7,Utility Infrastructure project in Sheikh Zayed Road,1290,1021,269,-3.57,81183840,84187542,3003702,1.3,Green,—,2023-05-17T13:54:00,2023-05-17T13:54:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration"
PRJ-084,Sheikh Mohammed Bridge,Villa Development,CL-021,EMP-0060,Dubai South,Plot 827-35,DM-2022-734792,47472893,2022-10-30,2024-02-22,Completed,100,173989,7,Infrastructure - Roads project in JVC,480,480,0,-10.14,42659134,47472893,4813759,3.9,Amber,—,2022-10-30T12:47:00,2022-10-30T12:47:00,system@alrashdeng.ae,1,True,—
PRJ-085,Business Bay Canal Walk,Mixed-Use Development,CL-002,EMP-0049,Meydan,Plot 777-33,DM-2022-880009,246746880,2022-04-09,2025-12-19,Completed,100,188683,2,Villa Development project in Palm Jumeirah,1350,1350,0,-2.58,240380000,246746880,6366880,5.6,Amber,—,2022-04-09T13:06:00,2022-04-09T13:06:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration"
PRJ-086,Dubai Water Canal Phase 2,Hotel & Hospitality,CL-036,EMP-0005,Business Bay,Plot 889-51,DM-2022-649435,39248282,2022-03-30,2023-09-21,Completed,100,26823,2,Infrastructure - Roads project in JLT,540,540,0,13.1,44391302,39248282,-5143020,6.0,Amber,—,2022-03-30T08:41:00,2022-03-30T08:41:00,system@alrashdeng.ae,1,True,—
PRJ-087,Al Shindagha Bridge,School/Educational,CL-019,EMP-0071,JLT,Plot 234-68,DM-2020-979249,171092106,2020-10-20,2023-10-05,Completed,100,49723,1,High-Rise Residential Tower project in Al Quoz Industrial,1080,1080,0,-8.12,157200588,171092106,13891518,3.2,Amber,—,2020-10-20T12:55:00,2020-10-20T12:55:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration,High Incident Rate"
PRJ-088,Floating Bridge Expansion,Mixed-Use Development,CL-045,EMP-0075,Palm Jumeirah,Plot 705-77,DM-2023-578720,255822587,2023-03-08,2026-08-19,Delayed,44,170425,10,Industrial Warehouse project in Deira,1260,1091,169,1.46,114201243,112561938,-1639305,4.8,Amber,—,2023-03-08T17:40:00,2023-03-08T17:40:00,system@alrashdeng.ae,1,True,"High Budget,Delayed,Long Duration"
PRJ-089,Infinity Bridge South,Commercial Office Building,CL-029,EMP-0059,Al Quoz Industrial,Plot 522-34,DM-2024-263281,171248158,2024-02-09,2027-11-20,In Progress,71,84579,1,High-Rise Residential Tower project in Deira,1380,753,627,1.19,123033120,121586192,-1446928,5.2,Amber,—,2024-02-09T09:22:00,2024-02-09T09:22:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration,High Incident Rate"
PRJ-090,Tolerance Bridge Link,Hotel & Hospitality,CL-049,EMP-0073,Dubai South,Plot 109-99,DM-2025-551344,256898733,2025-02-01,2027-07-21,Delayed,11,81787,10,Villa Development project in Business Bay,900,395,505,5.63,29850710,28258860,-1591850,1.7,Green,—,2025-02-01T15:23:00,2025-02-01T15:23:00,system@alrashdeng.ae,1,True,"High Budget,Delayed"
PRJ-091,RTA Bus Station Hub,Mixed-Use Development,CL-046,EMP-0103,DIP,Plot 948-49,DM-2025-331307,226049008,2025-01-03,2026-12-24,Delayed,65,73938,2,Industrial Warehouse project in Meydan,720,424,296,-3.16,142292573,146931855,4639282,2.0,Green,—,2025-01-03T15:48:00,2025-01-03T15:48:00,system@alrashdeng.ae,1,True,"High Budget,Delayed"
PRJ-092,Dubai Metro Red Line Extension,Retail Mall,CL-018,EMP-0069,Dubai Hills Estate,Plot 973-9,DM-2023-291267,157834720,2023-01-17,2025-06-05,Completed,100,40815,5,Commercial Office Building project in JVC,870,870,0,4.45,164864222,157834720,-7029502,2.6,Green,—,2023-01-17T16:28:00,2023-01-17T16:28:00,system@alrashdeng.ae,1,True,High Budget
PRJ-093,Green Line Station,Villa Development,CL-021,EMP-0003,JLT,Plot 150-69,DM-2020-123205,381063363,2020-07-18,2022-12-05,Completed,100,53742,2,Infrastructure - Roads project in Dubai Creek Harbour,870,870,0,3.68,395096453,381063363,-14033090,4.9,Amber,—,2020-07-18T09:45:00,2020-07-18T09:45:00,system@alrashdeng.ae,1,True,High Budget
PRJ-094,Palm Monorail Extension,Commercial Office Building,CL-010,EMP-0003,Al Barsha,Plot 322-44,DM-2021-540656,395362639,2021-07-19,2024-10-31,Completed,100,86677,8,Infrastructure - Bridges project in JVC,1200,1200,0,-14.75,337031320,395362639,58331319,7.3,Red,—,2021-07-19T07:21:00,2021-07-19T07:21:00,system@alrashdeng.ae,1,True,"High Budget,High Risk,Long Duration,High Incident Rate"
PRJ-095,Cable Car Terminal,Mixed-Use Development,CL-004,EMP-0058,DIP,Plot 173-70,DM-2022-592984,457875471,2022-11-25,2024-04-18,Completed,100,52606,4,Infrastructure - Roads project in DIP,510,510,0,7.52,492294370,457875471,-34418899,3.4,Amber,—,2022-11-25T07:07:00,2022-11-25T07:07:00,system@alrashdeng.ae,1,True,"High Budget,High Incident Rate"
PRJ-096,Water Taxi Station,Hotel & Hospitality,CL-016,EMP-0103,Downtown Dubai,Plot 303-59,DM-2021-871041,211586796,2021-11-11,2024-01-30,Completed,100,29631,9,Utility Infrastructure project in Dubai Hills Estate,810,810,0,8.14,228803105,211586796,-17216309,2.7,Green,—,2021-11-11T14:24:00,2021-11-11T14:24:00,system@alrashdeng.ae,1,True,High Budget
PRJ-097,District 2020 Office Block,School/Educational,CL-003,EMP-0103,Bur Dubai,Plot 633-16,DM-2022-365617,178443229,2022-03-23,2024-10-08,Completed,100,131151,5,Villa Development project in Al Quoz Industrial,930,930,0,-10.24,160167685,178443229,18275544,3.7,Amber,—,2022-03-23T07:55:00,2022-03-23T07:55:00,system@alrashdeng.ae,1,True,High Budget
PRJ-098,Dubai Future Labs,Industrial Warehouse,CL-021,EMP-0003,Palm Jumeirah,Plot 913-36,DM-2022-713099,65628005,2022-01-27,2024-02-16,Completed,100,36365,7,Villa Development project in Business Bay,750,750,0,-7.92,60429594,65628005,5198411,3.2,Amber,—,2022-01-27T07:37:00,2022-01-27T07:37:00,system@alrashdeng.ae,1,True,—
PRJ-099,Al Quoz Creative Hub,Infrastructure - Bridges,CL-050,EMP-0006,Meydan,Plot 261-64,DM-2022-195841,374585446,2022-08-18,2026-01-29,Completed,100,184816,10,Infrastructure - Bridges project in Downtown Dubai,1260,1260,0,2.89,385397362,374585446,-10811916,3.3,Amber,—,2022-08-18T07:22:00,2022-08-18T07:22:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration,High Incident Rate"
PRJ-100,Design District Phase 2,Commercial Office Building,CL-009,EMP-0073,Meydan,Plot 424-72,DM-2023-926867,381522678,2023-04-19,2025-01-08,Completed,100,173990,6,Hotel & Hospitality project in Dubai Hills Estate,630,630,0,1.09,385683563,381522678,-4160885,1.5,Green,—,2023-04-19T07:44:00,2023-04-19T07:44:00,system@alrashdeng.ae,1,True,High Budget
